№,Неделя,День,Формат,Тема,Целевой запрос,CTA,Статус,Просмотры,Открытия,Дочитывания,Подписки,CTR,% дочитывания
1,1,Пн,Длинная статья,Заказчик не платит за выполненные работы: что делать подрядчику,заказчик не платит за выполненные работы,Скачать чек-лист 25 причин неоплаты,Запланировано,,,,,0,0
2,1,Ср,Короткий ответ,"Как получить оплату по КС-2, если заказчик не подписывает",не платят по КС-2,Читать полную статью,Запланировано,,,,,0,0
3,1,Пт,Лид-магнит,"Чек-лист: 25 причин, почему подрядчик не получает деньги",почему подрядчику не платят,Скачать на сайте,Запланировано,,,,,0,0
4,2,Пн,Длинная статья,Договор строительного подряда: опасные условия и как их исправить,договор строительного подряда,Проверить договор,Запланировано,,,,,0,0
5,2,Ср,Короткий ответ,"Договор субподряда: 10 ошибок, которые стоят миллионы",договор субподряда,Читать разбор,Запланировано,,,,,0,0
6,2,Пт,Лид-магнит,100 ошибок строительных договоров: таблица проверки,ошибки строительных договоров,Получить таблицу,Запланировано,,,,,0,0
7,3,Пн,Длинная статья,Неустойка по договору подряда: как рассчитать и взыскать,неустойка по договору подряда,Скачать калькулятор,Запланировано,,,,,0,0
8,3,Ср,Короткий ответ,Штрафы генподрядчика: как избежать и оспорить,штрафы генподрядчика,Читать алгоритм,Запланировано,,,,,0,0
9,3,Пт,Лид-магнит,Калькулятор неустойки + шаблон претензии,расчёт неустойки,Скачать материалы,Запланировано,,,,,0,0
10,4,Пн,Длинная статья,Исполнительная документация в строительстве: полный гайд,исполнительная документация в строительстве,Получить чек-лист ИД,Запланировано,,,,,0,0
11,4,Ср,Короткий ответ,КС-2: пошаговая инструкция по заполнению и проверке,КС-2,Читать полный гайд,Запланировано,,,,,0,0
12,4,Пт,Лид-магнит,Чек-лист исполнительной документации без риска отказа,чек-лист исполнительной документации,Скачать чек-лист,Запланировано,,,,,0,0
