Кластер,Подкластер,Интент,Запрос,Частотность,Широкая частотность,Существующая страница,Решение,Целевая страница,Чем показано,Примечание
Аудит проекта,Риски строительства,Коммерческое исследование,аудит строительного проекта,23,,,create,/proverki/audit-stroitelnogo-proekta/,semantic-core.csv + файлы репозитория,"единственный запрос группы — страница будет тонкой, рассмотреть merge в соседнюю"
Договоры,Договор субподряда,Информационный,договор субподряда,6794,,,create,/baza-znanii/dogovor-subpodryada/,semantic-core.csv + файлы репозитория,
Договоры,Договор субподряда,Информационный,договор субподряда на работы,896,,,no-page,/baza-znanii/dogovor-subpodryada/,semantic-core.csv + файлы репозитория,"тот же интент, что «договор субподряда»"
Договоры,Договор субподряда,Информационный,договор субподряда на выполнение,674,,,no-page,/baza-znanii/dogovor-subpodryada/,semantic-core.csv + файлы репозитория,"тот же интент, что «договор субподряда»"
Договоры,Договор субподряда,Информационный,договор субподряда на выполнение работ,632,,,no-page,/baza-znanii/dogovor-subpodryada/,semantic-core.csv + файлы репозитория,"тот же интент, что «договор субподряда»"
Договоры,Договор субподряда,Информационный,договор строительного субподряда,536,,,no-page,/baza-znanii/dogovor-subpodryada/,semantic-core.csv + файлы репозитория,"тот же интент, что «договор субподряда»"
Договоры,Договор субподряда,Информационный,договор субподряда строительные работы,401,,,no-page,/baza-znanii/dogovor-subpodryada/,semantic-core.csv + файлы репозитория,"тот же интент, что «договор субподряда»"
Договоры,Договор субподряда,Информационный,договор заказчик субподряда,377,,,no-page,/baza-znanii/dogovor-subpodryada/,semantic-core.csv + файлы репозитория,"тот же интент, что «договор субподряда»"
Договоры,Договор субподряда,Информационный,договор субподряда на выполнение строительных,297,,,no-page,/baza-znanii/dogovor-subpodryada/,semantic-core.csv + файлы репозитория,"тот же интент, что «договор субподряда»"
Договоры,Договор субподряда,Информационный,договор субподряда на выполнение строительных работ,294,,,no-page,/baza-znanii/dogovor-subpodryada/,semantic-core.csv + файлы репозитория,"тот же интент, что «договор субподряда»"
Договоры,Договор субподряда,Информационный,заключение договоров субподряда,172,,,no-page,/baza-znanii/dogovor-subpodryada/,semantic-core.csv + файлы репозитория,"тот же интент, что «договор субподряда»"
Договоры,Договор субподряда,Информационный,сумма договора субподряда,166,,,no-page,/baza-znanii/dogovor-subpodryada/,semantic-core.csv + файлы репозитория,"тот же интент, что «договор субподряда»"
Договоры,Договор субподряда,Информационный,исполнение договора субподряда,156,,,no-page,/baza-znanii/dogovor-subpodryada/,semantic-core.csv + файлы репозитория,"тот же интент, что «договор субподряда»"
Договоры,Договор субподряда,Информационный,условия договора субподряда,154,,,no-page,/baza-znanii/dogovor-subpodryada/,semantic-core.csv + файлы репозитория,"тот же интент, что «договор субподряда»"
