Месяц,Главный кластер,SEO-страниц,Коммерческих страниц,Обновлений,Лид-магнит,Коммерческая задача,Дистрибуция
Август 2026,Неоплата и КС,8,2,1,Новый чек-лист,Запуск коммерческой страницы,Статья → Telegram → Дзен → Instagram → MAX
Сентябрь 2026,Договоры подряда,8,2,1,Обновление действующего,Запуск коммерческой страницы,Статья → Telegram → Дзен → Instagram → MAX
Октябрь 2026,Исполнительная документация,8,2,1,Обновление действующего,Запуск коммерческой страницы,Статья → Telegram → Дзен → Instagram → MAX
Ноябрь 2026,Допработы и простои,8,1,1,Новый чек-лист,Запуск коммерческой страницы,Статья → Telegram → Дзен → Instagram → MAX
Декабрь 2026,Удержания и штрафы,8,1,1,Обновление действующего,Оптимизация + кейс,Статья → Telegram → Дзен → Instagram → MAX
Январь 2027,Сметы и объёмы,8,1,1,Обновление действующего,Оптимизация + кейс,Статья → Telegram → Дзен → Instagram → MAX
Февраль 2027,Приёмка работ,8,1,1,Новый чек-лист,Оптимизация + кейс,Статья → Telegram → Дзен → Instagram → MAX
Март 2027,Договор субподряда,8,1,1,Обновление действующего,Оптимизация + кейс,Статья → Telegram → Дзен → Instagram → MAX
Апрель 2027,Проектное финансирование,8,1,1,Обновление действующего,Оптимизация + кейс,Статья → Telegram → Дзен → Instagram → MAX
Май 2027,Переговоры и претензии,8,1,1,Новый чек-лист,Оптимизация + кейс,Статья → Telegram → Дзен → Instagram → MAX
Июнь 2027,ПТО и документооборот,8,1,1,Обновление действующего,Оптимизация + кейс,Статья → Telegram → Дзен → Instagram → MAX
Июль 2027,Обновление коммерческих страниц,8,1,1,Обновление действующего,Оптимизация + кейс,Статья → Telegram → Дзен → Instagram → MAX
