ID,Запрос,Частотность,Wordstat подтверждён,Исходный запрос,Период,Кластер,Подкластер,Интент,Тип страницы,Продукт,Коммерческий потенциал,Приоритет,Волна,Целевой URL,Статус,Источник,Примечание
1,акт скрытых работ образец,3116,Да,акт скрытых работ,19.06.2026 – 18.07.2026,Исполнительная документация,Акты скрытых работ,Шаблон / лид-магнит,Лид-магнит / шаблон,Проверка исполнительной документации,4,5,1 — запуск,/materialy/akt-skrytyh-rabot-obrazec/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
2,акты скрытых работ какие,1693,Да,акт скрытых работ,19.06.2026 – 18.07.2026,Исполнительная документация,Акты скрытых работ,Проблемный информационный,Статья базы знаний,Проверка исполнительной документации,5,5,1 — запуск,/baza-znanii/akty-skrytyh-rabot-kakie/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
3,форма акта скрытых работ,1320,Да,акт скрытых работ,19.06.2026 – 18.07.2026,Исполнительная документация,Акты скрытых работ,Шаблон / лид-магнит,Лид-магнит / шаблон,Проверка исполнительной документации,4,5,1 — запуск,/materialy/forma-akta-skrytyh-rabot/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
4,стоимость строительной сметы,472,Да,строительная смета,19.06.2026 – 18.07.2026,Сметы,Проверка сметы,Коммерческий,Коммерческая страница,Проверка сметы,5,5,1 — запуск,/proverki/stoimost-stroitelnoi-smety/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
5,договор субподряда услуг,354,Да,договор субподряда,19.06.2026 – 18.07.2026,Договоры,Договор субподряда,Коммерческий,Коммерческая страница,Проверка договора подряда,5,5,1 — запуск,/proverki/dogovor-subpodryada-uslug/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
6,проверка договора подряда,254,Да,проверка договора подряда,19.06.2026 – 18.07.2026,Договоры,Проверка договора,Коммерческое исследование,Коммерческая страница,Проверка договора подряда,5,5,1 — запуск,/proverki/proverka-dogovora-podryada/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
7,акт скрытых работ,27861,Да,акт скрытых работ,19.06.2026 – 18.07.2026,Исполнительная документация,Акты скрытых работ,Информационный,Статья базы знаний,Проверка исполнительной документации,3,4,2 — рост,/baza-znanii/akt-skrytyh-rabot/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
8,строительная смета,11477,Да,строительная смета,19.06.2026 – 18.07.2026,Сметы,Проверка сметы,Информационный,Статья базы знаний,Проверка сметы,3,4,2 — рост,/baza-znanii/stroitelnaya-smeta/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
9,исполнительная документация в строительстве,9155,Да,исполнительная документация строительство,19.06.2026 – 18.07.2026,Исполнительная документация,Комплект ИД,Информационный,Статья базы знаний,Проверка исполнительной документации,3,4,2 — рост,/baza-znanii/ispolnitelnaya-dokumentaciya-v-stroitelstve/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
10,акт освидетельствования скрытых работ,7434,Да,акт скрытых работ,19.06.2026 – 18.07.2026,Исполнительная документация,Акты скрытых работ,Информационный,Статья базы знаний,Проверка исполнительной документации,3,4,2 — рост,/baza-znanii/akt-osvidetelstvovaniya-skrytyh-rabot/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
11,договор субподряда,6794,Да,договор субподряда,19.06.2026 – 18.07.2026,Договоры,Договор субподряда,Информационный,Статья базы знаний,Проверка договора подряда,3,4,2 — рост,/baza-znanii/dogovor-subpodryada/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
12,гарантийное удержание,4917,Да,гарантийное удержание,19.06.2026 – 18.07.2026,Удержания,Гарантийное удержание,Информационный,Статья базы знаний,Диагностика объекта,3,4,2 — рост,/baza-znanii/garantiinoe-uderzhanie/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
13,смета на строительные работы,3538,Да,строительная смета,19.06.2026 – 18.07.2026,Сметы,Проверка сметы,Информационный,Статья базы знаний,Проверка сметы,3,4,2 — рост,/baza-znanii/smeta-na-stroitelnye-raboty/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
14,акт скрытых работ в строительстве,2334,Да,акт скрытых работ,19.06.2026 – 18.07.2026,Исполнительная документация,Акты скрытых работ,Информационный,Статья базы знаний,Проверка исполнительной документации,3,4,2 — рост,/baza-znanii/akt-skrytyh-rabot-v-stroitelstve/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
15,акты скрываемых работ в строительстве,2334,Да,акт скрытых работ,19.06.2026 – 18.07.2026,Исполнительная документация,Акты скрытых работ,Информационный,Статья базы знаний,Проверка исполнительной документации,3,4,2 — рост,/baza-znanii/akty-skryvaemyh-rabot-v-stroitelstve/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
16,исполнительная документация капитального строительства,1845,Да,исполнительная документация строительство,19.06.2026 – 18.07.2026,Исполнительная документация,Комплект ИД,Информационный,Статья базы знаний,Проверка исполнительной документации,3,4,2 — рост,/baza-znanii/ispolnitelnaya-dokumentaciya-kapitalnogo-stroitelstva/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
17,строительная смета расценки,1762,Да,строительная смета,19.06.2026 – 18.07.2026,Сметы,Проверка сметы,Информационный,Статья базы знаний,Проверка сметы,3,4,2 — рост,/baza-znanii/stroitelnaya-smeta-rascenki/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
18,исполнительная документация объекта капитального строительства,1756,Да,исполнительная документация строительство,19.06.2026 – 18.07.2026,Исполнительная документация,Комплект ИД,Информационный,Статья базы знаний,Проверка исполнительной документации,3,4,2 — рост,/baza-znanii/ispolnitelnaya-dokumentaciya-obekta-kapitalnogo-stroitelstva/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
19,строительный мусор в смете,1728,Да,строительная смета,19.06.2026 – 18.07.2026,Сметы,Проверка сметы,Информационный,Статья базы знаний,Проверка сметы,3,4,2 — рост,/baza-znanii/stroitelnyi-musor-v-smete/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
20,исполнительная документация при строительстве объектов,1567,Да,исполнительная документация строительство,19.06.2026 – 18.07.2026,Исполнительная документация,Комплект ИД,Информационный,Статья базы знаний,Проверка исполнительной документации,3,4,2 — рост,/baza-znanii/ispolnitelnaya-dokumentaciya-pri-stroitelstve-obektov/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
21,акт скрытых работ 2026,1195,Да,акт скрытых работ,19.06.2026 – 18.07.2026,Исполнительная документация,Акты скрытых работ,Информационный,Статья базы знаний,Проверка исполнительной документации,3,4,2 — рост,/baza-znanii/akt-skrytyh-rabot-2026/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
22,акт скрытых работ монтаж,1109,Да,акт скрытых работ,19.06.2026 – 18.07.2026,Исполнительная документация,Акты скрытых работ,Информационный,Статья базы знаний,Проверка исполнительной документации,3,4,2 — рост,/baza-znanii/akt-skrytyh-rabot-montazh/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
23,дополнительные работы в строительстве,1029,Да,дополнительные работы в строительстве,19.06.2026 – 18.07.2026,Допработы,Согласование изменений,Информационный,Статья базы знаний,Пакет «Допработы без потерь»,3,4,2 — рост,/baza-znanii/dopolnitelnye-raboty-v-stroitelstve/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
24,акт скрытых работ скачать,947,Да,акт скрытых работ,19.06.2026 – 18.07.2026,Исполнительная документация,Акты скрытых работ,Шаблон / лид-магнит,Лид-магнит / шаблон,Проверка исполнительной документации,3,4,2 — рост,/materialy/akt-skrytyh-rabot-skachat/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
25,смета строительная образец,900,Да,строительная смета,19.06.2026 – 18.07.2026,Сметы,Проверка сметы,Шаблон / лид-магнит,Лид-магнит / шаблон,Проверка сметы,3,4,2 — рост,/materialy/smeta-stroitelnaya-obrazec/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
26,акт скрытых работ пример,859,Да,акт скрытых работ,19.06.2026 – 18.07.2026,Исполнительная документация,Акты скрытых работ,Шаблон / лид-магнит,Лид-магнит / шаблон,Проверка исполнительной документации,3,4,2 — рост,/materialy/akt-skrytyh-rabot-primer/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
27,договор субподряда образец,772,Да,договор субподряда,19.06.2026 – 18.07.2026,Договоры,Договор субподряда,Шаблон / лид-магнит,Лид-магнит / шаблон,Проверка договора подряда,3,4,2 — рост,/materialy/dogovor-subpodryada-obrazec/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
28,акт освидетельствования скрытых работ образец,769,Да,акт скрытых работ,19.06.2026 – 18.07.2026,Исполнительная документация,Акты скрытых работ,Шаблон / лид-магнит,Лид-магнит / шаблон,Проверка исполнительной документации,3,4,2 — рост,/materialy/akt-osvidetelstvovaniya-skrytyh-rabot-obrazec/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
29,акт скрытых работ в строительстве образец,724,Да,акт скрытых работ,19.06.2026 – 18.07.2026,Исполнительная документация,Акты скрытых работ,Шаблон / лид-магнит,Лид-магнит / шаблон,Проверка исполнительной документации,3,4,2 — рост,/materialy/akt-skrytyh-rabot-v-stroitelstve-obrazec/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
30,смета строительных работ образец,703,Да,строительная смета,19.06.2026 – 18.07.2026,Сметы,Проверка сметы,Шаблон / лид-магнит,Лид-магнит / шаблон,Проверка сметы,3,4,2 — рост,/materialy/smeta-stroitelnyh-rabot-obrazec/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
31,акт скрытых работ 2025 образец,633,Да,акт скрытых работ,19.06.2026 – 18.07.2026,Исполнительная документация,Акты скрытых работ,Шаблон / лид-магнит,Лид-магнит / шаблон,Проверка исполнительной документации,3,4,2 — рост,/materialy/akt-skrytyh-rabot-2025-obrazec/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
32,акт скрытых работ 2026 образец,569,Да,акт скрытых работ,19.06.2026 – 18.07.2026,Исполнительная документация,Акты скрытых работ,Шаблон / лид-магнит,Лид-магнит / шаблон,Проверка исполнительной документации,3,4,2 — рост,/materialy/akt-skrytyh-rabot-2026-obrazec/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
33,бланк акта скрытых работ,522,Да,акт скрытых работ,19.06.2026 – 18.07.2026,Исполнительная документация,Акты скрытых работ,Шаблон / лид-магнит,Лид-магнит / шаблон,Проверка исполнительной документации,3,4,2 — рост,/materialy/blank-akta-skrytyh-rabot/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
34,форма акта освидетельствования скрытых работ,460,Да,акт скрытых работ,19.06.2026 – 18.07.2026,Исполнительная документация,Акты скрытых работ,Шаблон / лид-магнит,Лид-магнит / шаблон,Проверка исполнительной документации,3,4,2 — рост,/materialy/forma-akta-osvidetelstvovaniya-skrytyh-rabot/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
35,возврат гарантийного удержания,442,Да,гарантийное удержание,19.06.2026 – 18.07.2026,Удержания,Гарантийное удержание,Проблемный информационный,Статья базы знаний,Диагностика объекта,4,4,2 — рост,/baza-znanii/vozvrat-garantiinogo-uderzhaniya/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
36,акт освидетельствования скрытых работ какие работы,396,Да,акт скрытых работ,19.06.2026 – 18.07.2026,Исполнительная документация,Акты скрытых работ,Проблемный информационный,Статья базы знаний,Проверка исполнительной документации,4,4,2 — рост,/baza-znanii/akt-osvidetelstvovaniya-skrytyh-rabot-kakie-raboty/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
37,порядок в исполнительной документации в строительстве,322,Да,исполнительная документация строительство,19.06.2026 – 18.07.2026,Исполнительная документация,Комплект ИД,Проблемный информационный,Статья базы знаний,Проверка исполнительной документации,4,4,2 — рост,/baza-znanii/poryadok-v-ispolnitelnoi-dokumentacii-v-stroitelstve/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
38,строительный смета скачать,317,Да,строительная смета,19.06.2026 – 18.07.2026,Сметы,Проверка сметы,Шаблон / лид-магнит,Лид-магнит / шаблон,Проверка сметы,3,4,2 — рост,/materialy/stroitelnyi-smeta-skachat/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
39,в строительстве какая исполнительная документация,307,Да,исполнительная документация строительство,19.06.2026 – 18.07.2026,Исполнительная документация,Комплект ИД,Проблемный информационный,Статья базы знаний,Проверка исполнительной документации,4,4,2 — рост,/baza-znanii/v-stroitelstve-kakaya-ispolnitelnaya-dokumentaciya/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
40,форма акта скрытых работ 2026,306,Да,акт скрытых работ,19.06.2026 – 18.07.2026,Исполнительная документация,Акты скрытых работ,Шаблон / лид-магнит,Лид-магнит / шаблон,Проверка исполнительной документации,3,4,2 — рост,/materialy/forma-akta-skrytyh-rabot-2026/,Запланировано,https://wordstat.yandex.ru/,"Wordstat, Россия, все устройства"
