money_cluster,problem,query,landing_url,free_material,product,impressions,clicks,product_clicks,checkout_starts,purchases,revenue,conversion_rate,revenue_per_visitor,confidence,updated_at
MI-5,Исполнительная документация,,/articles/akt-osvidetelstvovaniya-skrytyh-rabot.html,/materialy/ispolnitelnaya-dokumentaciya.html;/materialy/akt-skrytyh-rabot.html,p4;t2,,,,,,,,,структура,2026-08-14
MI-6,Договор создаёт будущую потерю денег,,/articles/akt-peredachi-stroitelnoy-ploshchadki-obrazec.html,/materialy/dogovor.html;/materialy/avans.html;/materialy/raschet-metrami.html,p7;p8;p11,,,,,,,,,структура,2026-08-14
MI-5,Исполнительная документация,,/articles/akt-skrytyh-rabot-montazh.html,/materialy/ispolnitelnaya-dokumentaciya.html;/materialy/akt-skrytyh-rabot.html,p4;t2,,,,,,,,,структура,2026-08-14
MI-5,Исполнительная документация,,/articles/akt-skrytyh-rabot-obrazec.html,/materialy/ispolnitelnaya-dokumentaciya.html;/materialy/akt-skrytyh-rabot.html,p4;t2,,,,,,,,,структура,2026-08-14
MI-5,Исполнительная документация,,/articles/akty-skrytyh-rabot-kakie.html,/materialy/ispolnitelnaya-dokumentaciya.html;/materialy/akt-skrytyh-rabot.html,p4,,,,,,,,,структура,2026-08-14
MI-6,Договор создаёт будущую потерю денег,,/articles/avans-eto-ne-dengi-eto-kryuchok.html,/materialy/dogovor.html;/materialy/avans.html;/materialy/raschet-metrami.html,p8,,,,,,,,,структура,2026-08-14
MI-6,Договор создаёт будущую потерю денег,,/articles/bankovskaya-garantiya-na-vozvrat-avansa.html,/materialy/dogovor.html;/materialy/avans.html;/materialy/raschet-metrami.html,p8,,,,,,,,,структура,2026-08-14
MI-7,Контрагент становится неплатёжеспособным,,/articles/bankrotstvo-genpodryadchika-5-markerov.html,/materialy/bankrotstvo.html,p9,,,,,,,,,структура,2026-08-14
MI-6,Договор создаёт будущую потерю денег,,/articles/dogovor-subpodryada-obrazec.html,/materialy/dogovor.html;/materialy/avans.html;/materialy/raschet-metrami.html,p7,,,,,,,,,структура,2026-08-14
MI-3,Выполнены дополнительные работы,,/articles/dopolnitelnye-raboty-v-stroitelstve.html,/materialy/dop-raboty.html,p2,,,,,,,,,структура,2026-08-14
MI-3,Выполнены дополнительные работы,,/articles/dopraboty-bez-soglasheniya.html,/materialy/dop-raboty.html,p2,,,,,,,,,структура,2026-08-14
MI-4,Удержания,,/articles/garantiynoe-uderzhanie-chto-eto.html,/materialy/uderzhaniya.html,p5,,,,,,,,,структура,2026-08-14
MI-4,Удержания,,/articles/garantiynoe-uderzhanie-v-ks-2-i-ks-3.html,/materialy/uderzhaniya.html,p5,,,,,,,,,структура,2026-08-14
MI-4,Удержания,,/articles/genpodryadchik-zarabatyvaet-na-vas.html,/materialy/uderzhaniya.html,p5,,,,,,,,,структура,2026-08-14
MI-5,Исполнительная документация,,/articles/ispolnitelnaya-dokumentaciya-sostav.html,/materialy/ispolnitelnaya-dokumentaciya.html;/materialy/akt-skrytyh-rabot.html,p4;t2,,,,,,,,,структура,2026-08-14
MI-6,Договор создаёт будущую потерю денег,,/articles/krasnye-flagi-dogovora-subpodryada.html,/materialy/dogovor.html;/materialy/avans.html;/materialy/raschet-metrami.html,p7,,,,,,,,,структура,2026-08-14
MI-6,Договор создаёт будущую потерю денег,,/articles/neotrabotannyy-avans.html,/materialy/dogovor.html;/materialy/avans.html;/materialy/raschet-metrami.html,p8,,,,,,,,,структура,2026-08-14
MI-1,"Выполнено, но не оплачено",,/articles/podpisannaya-ks2-ne-znachit-chto-zaplatyat.html,/materialy/dengi.html,p1,,,,,,,,,структура,2026-08-14
MI-4,Удержания,,/articles/pretenziya-za-chuzhuyu-kommunalku.html,/materialy/uderzhaniya.html,p5;t3,,,,,,,,,структура,2026-08-14
MI-6,Договор создаёт будущую потерю денег,,/articles/protokol-raznoglasiy-k-dogovoru.html,/materialy/dogovor.html;/materialy/avans.html;/materialy/raschet-metrami.html,p7,,,,,,,,,структура,2026-08-14
MI-2,"Работы выполнены, но не приняты",,/articles/proverka-ks-2-pered-sdachey.html,/materialy/vozvrat-ks.html,p3,,,,,,,,,структура,2026-08-14
MI-1,"Выполнено, но не оплачено",,/articles/pyat-dokazatelstv-vypolneniya.html,/materialy/dengi.html,p1,,,,,,,,,структура,2026-08-14
