content_url,content_type,money_pain,stage,primary_product,secondary_product_or_free_tool,primary_cta
/articles/akt-osvidetelstvovaniya-skrytyh-rabot.html,разбор,MP-5,core,p4,t2,/products/p4-ispolnitelnaya-dokumentaciya-pto.html
/articles/akt-peredachi-stroitelnoy-ploshchadki-obrazec.html,разбор,MP-5,core,p4,t2,/products/p4-ispolnitelnaya-dokumentaciya-pto.html
/articles/akt-skrytyh-rabot-montazh.html,разбор,MP-5,core,p4,t2,/products/p4-ispolnitelnaya-dokumentaciya-pto.html
/articles/akt-skrytyh-rabot-obrazec.html,разбор,MP-5,core,p4,t2,/products/p4-ispolnitelnaya-dokumentaciya-pto.html
/articles/akty-skrytyh-rabot-kakie.html,разбор,MP-5,core,p4,/materialy/akt-skrytyh-rabot.html,/products/p4-ispolnitelnaya-dokumentaciya-pto.html
/articles/avans-eto-ne-dengi-eto-kryuchok.html,разбор,MP-6,cross,p8,/materialy/avans.html,/products/p8-avans-po-dogovoru-subpodryada.html
/articles/avans-po-dogovoru-podryada.html,разбор,MP-6,cross,p8,/materialy/avans.html,/products/p8-avans-po-dogovoru-subpodryada.html
/articles/bankovskaya-garantiya-na-vozvrat-avansa.html,разбор,MP-6,cross,p8,/materialy/avans.html,/products/p8-avans-po-dogovoru-subpodryada.html
/articles/bankrotstvo-genpodryadchika-5-markerov.html,разбор,MP-7,core,p9,t4,/products/p9-bankrotstvo-genpodryadchika.html
/articles/dogovor-subpodryada-obrazec.html,разбор,MP-6,core,p7,/materialy/dogovor.html,/products/p7-dogovor-podryada.html
/articles/dolg-zakryvali-na-sleduyushchem-obekte.html,разбор,MP-1,core,p1,t1,/products/p1-oplata-po-ks2.html
/articles/dopolnitelnye-raboty-v-stroitelstve.html,разбор,MP-3,core,p2,/materialy/dop-raboty.html,/products/p2-dopolnitelnye-raboty.html
/articles/dopraboty-bez-soglasheniya.html,разбор,MP-3,core,p2,/materialy/dop-raboty.html,/products/p2-dopolnitelnye-raboty.html
/articles/garantiynoe-uderzhanie-chto-eto.html,разбор,MP-4,core,p5,/materialy/uderzhaniya.html,/products/p5-shtrafy-uderzhaniya.html
/articles/garantiynoe-uderzhanie-v-ks-2-i-ks-3.html,разбор,MP-4,core,p5,p1,/products/p5-shtrafy-uderzhaniya.html
/articles/genpodryadchik-zarabatyvaet-na-vas.html,разбор,MP-4,core,p5,/materialy/uderzhaniya.html,/products/p5-shtrafy-uderzhaniya.html
/articles/ispolnitelnaya-dokumentaciya-sostav.html,разбор,MP-5,core,p4,t2,/products/p4-ispolnitelnaya-dokumentaciya-pto.html
