product_id,product_url,money_pain,stage,price,primary_landing,free_entry,cross_sell,upsell,bundle,status
p1,/products/p1-oplata-po-ks2.html,MP-1;MP-2;MP-3;MP-4;MP-5;MP-7,core,2490,/products/p1-oplata-po-ks2.html,/materialy/dengi.html,p5;p2,,,active
p10,/products/p10-otvet-na-pretenziyu.html,MP-2;MP-4,cross,2990,/products/p10-otvet-na-pretenziyu.html,/materialy/vozvrat-ks.html,,,,active
p11,/products/p11-raschet-metrami.html,MP-6,cross,2490,/products/p11-raschet-metrami.html,/materialy/dogovor.html,,,,active
p12,/products/p12-spor-s-summoy.html,MP-2,cross,9900,/products/p12-spor-s-summoy.html,/materialy/vozvrat-ks.html,,,,active
p13,/products/p13-chto-v-smete-ne-oplatyat.html,MP-3;MP-6,cross,2490,/products/p13-chto-v-smete-ne-oplatyat.html,/materialy/dop-raboty.html,,,,active
p2,/products/p2-dopolnitelnye-raboty.html,MP-3;MP-1,core,2490,/products/p2-dopolnitelnye-raboty.html,/materialy/dop-raboty.html,p13;p1,,,active
p3,/products/p3-shablony-ks2-ks3.html,MP-2;MP-5,core,1990,/products/p3-shablony-ks2-ks3.html,/materialy/vozvrat-ks.html,p10;p12;p1,,,active
p4,/products/p4-ispolnitelnaya-dokumentaciya-pto.html,MP-5,core,2990,/products/p4-ispolnitelnaya-dokumentaciya-pto.html,/materialy/ispolnitelnaya-dokumentaciya.html,p3;p1,,,active
p5,/products/p5-shtrafy-uderzhaniya.html,MP-4;MP-1,core,2990,/products/p5-shtrafy-uderzhaniya.html,/materialy/uderzhaniya.html,p1;p10,,,active
p7,/products/p7-dogovor-podryada.html,MP-6,core,2490,/products/p7-dogovor-podryada.html,/materialy/dogovor.html,p8;p11;p13;t5,,,active
p8,/products/p8-avans-po-dogovoru-subpodryada.html,MP-6,cross,2490,/products/p8-avans-po-dogovoru-subpodryada.html,/materialy/dogovor.html,,,,active
p9,/products/p9-bankrotstvo-genpodryadchika.html,MP-7,core,2990,/products/p9-bankrotstvo-genpodryadchika.html,/materialy/bankrotstvo.html,p1,,,active
t1,/products/t1-pervyy-shag-pri-neoplate.html,MP-1,entry,990,/products/t1-pervyy-shag-pri-neoplate.html,/materialy/dengi.html,,p1,,active
t2,/products/t2-peredacha-ispolnitelnoy-dokumentacii.html,MP-5,entry,990,/products/t2-peredacha-ispolnitelnoy-dokumentacii.html,/materialy/ispolnitelnaya-dokumentaciya.html,,p4,,active
t3,/products/t3-odnostoronniy-akt-i-zachet.html,MP-2;MP-4,entry,990,/products/t3-odnostoronniy-akt-i-zachet.html,/materialy/vozvrat-ks.html,,p3,,active
t4,/products/t4-genpodryadchik-bankrotitsya.html,MP-7,entry,990,/products/t4-genpodryadchik-bankrotitsya.html,/materialy/bankrotstvo.html,,p9,,active
t5,/products/t5-trebuyut-vernut-avans.html,MP-6,cross,990,/products/t5-trebuyut-vernut-avans.html,/materialy/dogovor.html,,p7,,active
t6,/products/t6-kvartiry-vmesto-deneg.html,MP-6,entry,990,/products/t6-kvartiry-vmesto-deneg.html,/materialy/dogovor.html,,p7,,active
test1,,не назначена,не назначена,1,,,,,,test
