query,landing_url,cluster,intent,commercial_intent,money_stage,impressions,clicks,ctr,position,business_value,existing_solution,recommended_action,target_product,source,updated_at
дзен маржа в бетоне,,,,,,3.0,0,0.0,3.6666666666666665,,,,,yandex-webmaster,2026-08-24
комплект исполнительной документации,,,,,,2.0,0,0.0,8.5,,,,,yandex-webmaster,2026-08-24
екатеринбург татищева 98 индекс,,,,,,2.0,0,0.0,22.0,,,,,yandex-webmaster,2026-08-24
бушланов денис михайлович_инн: 246411431904,,,,,,2.0,0,0.0,9.5,,,,,yandex-webmaster,2026-08-24
когда идет сборка акт,,,,,,1.0,0,0.0,9.0,,,,,yandex-webmaster,2026-08-24
опись передачи комплекта,,,,ACTION,,1.0,0,0.0,12.0,,,,,yandex-webmaster,2026-08-24
шаблон кс2-3 с авансовым платежом,,,PROBLEM,ACTION,,1.0,0,0.0,5.0,B,,,,yandex-webmaster,2026-08-24
когда передается исполнительная документация заказчику,,,INFORMATION,INFORMATION,,1.0,0,0.0,12.0,C,,,,yandex-webmaster,2026-08-24
акт передачи документов исполнительная,,,,ACTION,,1.0,2.0,200.0,5.0,,,,,yandex-webmaster,2026-08-24
возврат гарантийного удержания,,,MONEY,MONEY,,1.0,0,0.0,3.0,A,,,,yandex-webmaster,2026-08-24
состав папки пто,,,INFORMATION,INFORMATION,,1.0,0,0.0,10.0,C,,,,yandex-webmaster,2026-08-24
что входит в папку которую собирает пто,,,INFORMATION,INFORMATION,,1.0,1.0,100.0,4.0,C,,,,yandex-webmaster,2026-08-24
